No.,Pos.,Player,Date of birth (age),Caps,Club,Country
19,DF,Jamal Sellami,6 October 1970 (aged 27),0,Raja Casablanca,Morocco
20,DF,Tahar El Khalej,16 June 1968 (aged 29),54,Benfica,Morocco
21,FW,Rachid Rokki,8 November 1974 (aged 23),2,Chabab Mohammédia,Morocco
22,GK,Mustapha Chadili,14 February 1973 (aged 25),0,Raja Casablanca,Morocco
1,GK,Frode Grodås (captain),24 October 1964 (aged 33),39,Tottenham Hotspur,Norway
2,DF,Gunnar Halle,11 August 1965 (aged 32),60,Leeds United,Norway
3,DF,Ronny Johnsen,10 June 1969 (aged 29),33,Manchester United,Norway
4,DF,Henning Berg,1 September 1969 (aged 28),52,Manchester United,Norway
5,DF,Stig Inge Bjørnebye,11 December 1969 (aged 28),62,Liverpool,Norway
6,MF,Ståle Solbakken,27 February 1968 (aged 30),34,AaB,Norway
7,MF,Erik Mykland,21 July 1971 (aged 26),54,Panathinaikos,Norway
8,MF,Øyvind Leonhardsen,17 August 1970 (aged 27),55,Liverpool,Norway
9,FW,Tore André Flo,15 June 1973 (aged 24),25,Chelsea,Norway
10,MF,Kjetil Rekdal,6 November 1968 (aged 29),66,Hertha BSC,Norway
11,MF,Mini Jakobsen,8 November 1965 (aged 32),64,Rosenborg,Norway
12,GK,Thomas Myhre,16 October 1973 (aged 24),1,Everton,Norway
13,GK,Espen Baardsen,7 December 1977 (aged 20),1,Tottenham Hotspur,Norway
14,DF,Vegard Heggem,13 July 1975 (aged 22),1,Rosenborg,Norway
15,DF,Dan Eggen,13 January 1970 (aged 28),13,Celta Vigo,Norway
16,FW,Jostein Flo,3 October 1964 (aged 33),44,Strømsgodset,Norway
17,FW,Håvard Flo,4 April 1970 (aged 28),9,Werder Bremen,Norway
18,FW,Egil Østenstad,2 January 1972 (aged 26),14,Southampton,Norway
19,DF,Erik Hoftun,3 March 1969 (aged 29),1,Rosenborg,Norway
20,FW,Ole Gunnar Solskjær,26 February 1973 (aged 25),14,Manchester United,Norway
21,DF,Vidar Riseth,21 April 1972 (aged 26),4,LASK,Norway
22,MF,Roar Strand,2 February 1970 (aged 28),5,Rosenborg,Norway
1,GK,Jim Leighton,24 July 1958 (aged 39),86,Aberdeen,Scotland
2,MF,Jackie McNamara,24 October 1973 (aged 24),6,Celtic,Scotland
3,DF,Tom Boyd,24 November 1965 (aged 32),55,Celtic,Scotland
4,DF,Colin Calderwood,20 January 1965 (aged 33),28,Tottenham Hotspur,Scotland
5,DF,Colin Hendry (captain),7 December 1965 (aged 32),32,Blackburn Rovers,Scotland
6,DF,Tosh McKinlay,3 December 1964 (aged 33),19,Celtic,Scotland
7,FW,Kevin Gallacher,23 November 1966 (aged 31),36,Blackburn Rovers,Scotland
8,MF,Craig Burley,24 September 1971 (aged 26),25,Celtic,Scotland
9,FW,Gordon Durie,6 December 1965 (aged 32),40,Rangers,Scotland
10,FW,Darren Jackson,25 July 1966 (aged 31),24,Celtic,Scotland
11,MF,John Collins,31 January 1968 (aged 30),49,Monaco,Scotland
12,GK,Neil Sullivan,24 February 1970 (aged 28),3,Wimbledon,Scotland
13,FW,Simon Donnelly,1 December 1974 (aged 23),8,Celtic,Scotland
14,MF,Paul Lambert,7 August 1969 (aged 28),12,Celtic,Scotland
15,MF,Scot Gemmill,2 January 1971 (aged 27),13,Nottingham Forest,Scotland
16,DF,David Weir,10 May 1970 (aged 28),5,Heart of Midlothian,Scotland
17,MF,Billy McKinlay,22 April 1969 (aged 29),25,Blackburn Rovers,Scotland
18,DF,Matt Elliott,1 November 1968 (aged 29),3,Leicester City,Scotland
19,DF,Derek Whyte,31 August 1968 (aged 29),11,Aberdeen,Scotland
20,FW,Scott Booth,16 December 1971 (aged 26),16,FC Utrecht,Scotland
21,GK,Jonathan Gould,18 July 1968 (aged 29),0,Celtic,Scotland
22,DF,Christian Dailly,23 October 1973 (aged 24),10,Derby County,Scotland
1,GK,Michael Konsel,6 March 1962 (aged 36),40,Roma,Austria
2,MF,Markus Schopp,22 February 1974 (aged 24),18,Sturm Graz,Austria
3,DF,Peter Schöttel,26 March 1967 (aged 31),54,Rapid Wien,Austria
4,DF,Anton Pfeffer,17 August 1965 (aged 32),56,Austria Wien,Austria
5,DF,Wolfgang Feiersinger,30 January 1965 (aged 33),39,Borussia Dortmund,Austria
6,DF,Walter Kogler,12 December 1967 (aged 30),22,Cannes,Austria
7,FW,Mario Haas,16 September 1974 (aged 23),5,Sturm Graz,Austria
8,MF,Heimo Pfeifenberger,29 December 1966 (aged 31),37,Werder Bremen,Austria
9,FW,Ivica Vastić,29 September 1969 (aged 28),14,Sturm Graz,Austria
10,MF,Andi Herzog,10 September 1968 (aged 29),68,Werder Bremen,Austria
11,MF,Martin Amerhauser,23 July 1974 (aged 23),2,Austria Salzburg,Austria
12,DF,Martin Hiden,11 March 1973 (aged 25),4,Leeds United,Austria
13,MF,Harald Cerny,13 September 1973 (aged 24),23,1860 Munich,Austria
14,FW,Hannes Reinmayr,23 August 1969 (aged 28),8,Sturm Graz,Austria
15,MF,Arnold Wetl,2 February 1970 (aged 28),15,Rapid Wien,Austria
16,GK,Franz Wohlfahrt,1 July 1964 (aged 33),37,VfB Stuttgart,Austria
17,MF,Roman Mählich,17 September 1971 (aged 26),10,Sturm Graz,Austria
18,MF,Peter Stöger,11 April 1966 (aged 32),59,LASK,Austria
19,FW,Toni Polster (captain),10 March 1964 (aged 34),91,1. FC Köln,Austria
20,MF,Andreas Heraf,10 September 1967 (aged 30),10,Rapid Wien,Austria
21,GK,Wolfgang Knaller,9 October 1961 (aged 36),4,Austria Wien,Austria
22,MF,Dietmar Kühbauer,4 April 1971 (aged 27),28,Real Sociedad,Austria
1,GK,Jacques Songo'o,17 March 1964 (aged 34),73,Deportivo La Coruña,Cameroon
2,DF,Joseph Elanga,2 May 1979 (aged 19),1,Tonnerre Yaoundé,Cameroon
3,DF,Pierre Womé,26 March 1979 (aged 19),28,Lucchese,Cameroon
4,DF,Rigobert Song,1 July 1976 (aged 21),30,Metz,Cameroon
5,DF,Raymond Kalla,22 April 1975 (aged 23),28,Panachaiki,Cameroon
6,DF,Pierre Njanka,15 March 1975 (aged 23),2,Olympic Mvolyé,Cameroon
7,FW,François Omam-Biyik (captain),21 May 1966 (aged 32),70,Sampdoria,Cameroon
8,MF,Didier Angibeaud,8 October 1974 (aged 23),3,Nice,Cameroon
9,FW,Alphonse Tchami,14 September 1971 (aged 26),38,Hertha BSC,Cameroon
10,FW,Patrick M'Boma,15 November 1970 (aged 27),15,Gamba Osaka,Cameroon
11,FW,Samuel Eto'o,10 March 1981 (aged 17),6,Leganés,Cameroon
12,DF,Lauren,19 January 1977 (aged 21),1,Levante,Cameroon
13,DF,Patrice Abanda,3 August 1978 (aged 19),1,Tonnerre Yaoundé,Cameroon
14,MF,Augustine Simo,18 September 1978 (aged 19),14,Saint-Étienne,Cameroon
15,MF,Joseph N'Do,28 April 1976 (aged 22),2,Cottonsport Garoua,Cameroon
16,GK,William Andem,14 June 1968 (aged 29),16,Boavista,Cameroon
17,DF,Michel Pensée,16 June 1973 (aged 24),2,Cheonan Ilhwa Chunma,Cameroon
18,FW,Samuel Ipoua,1 March 1973 (aged 25),7,Rapid Wien,Cameroon
19,MF,Marcel Mahouvé,16 January 1973 (aged 25),12,Montpellier,Cameroon
20,MF,Salomon Olembé,8 December 1980 (aged 17),8,Nantes,Cameroon
21,FW,Joseph-Désiré Job,1 December 1977 (aged 20),11,Lyon,Cameroon
22,GK,Alioum Boukar,3 January 1972 (aged 26),16,Samsunspor,Cameroon
1,GK,Nelson Tapia,22 September 1966 (aged 31),34,Universidad Católica,Chile
2,DF,Cristián Castañeda,18 September 1968 (aged 29),24,Universidad de Chile,Chile
3,DF,Ronald Fuentes,22 June 1969 (aged 28),41,Universidad de Chile,Chile
4,DF,Francisco Rojas,22 July 1974 (aged 23),12,Colo-Colo,Chile
5,DF,Javier Margas,10 May 1969 (aged 29),52,Universidad Católica,Chile
6,DF,Pedro Reyes,13 November 1972 (aged 25),24,Colo-Colo,Chile
7,MF,Nelson Parraguez,5 April 1971 (aged 27),37,Universidad Católica,Chile
8,MF,Clarence Acuña,8 February 1975 (aged 23),28,Universidad de Chile,Chile
9,FW,Iván Zamorano (captain),18 January 1967 (aged 31),42,Inter Milan,Chile
10,MF,José Luis Sierra,5 December 1968 (aged 29),31,Colo-Colo,Chile
11,FW,Marcelo Salas,24 December 1974 (aged 23),39,River Plate,Chile
12,GK,Marcelo Ramírez,29 May 1965 (aged 33),19,Colo-Colo,Chile
13,FW,Manuel Neira,12 October 1977 (aged 20),5,Colo-Colo,Chile
14,DF,Miguel Ramírez,11 June 1970 (aged 27),38,Universidad Católica,Chile
15,DF,Moisés Villarroel,12 February 1976 (aged 22),10,Santiago Wanderers,Chile
16,DF,Mauricio Aros,9 March 1976 (aged 22),4,Universidad de Chile,Chile
17,MF,Marcelo Vega,12 August 1971 (aged 26),29,MetroStars,Chile
18,MF,Luis Musrri,24 December 1969 (aged 28),27,Universidad de Chile,Chile
19,MF,Fernando Cornejo,28 January 1969 (aged 29),27,Universidad Católica,Chile
20,MF,Fabián Estay,5 October 1968 (aged 29),48,Toluca,Chile
21,FW,Rodrigo Barrera,30 March 1970 (aged 28),22,Universidad de Chile,Chile
22,GK,Carlos Tejas,4 October 1974 (aged 23),0,Coquimbo Unido,Chile
1,GK,Francesco Toldo,2 December 1971 (aged 26),6,Fiorentina,Italy
2,DF,Giuseppe Bergomi,22 December 1963 (aged 34),78,Inter Milan,Italy
3,DF,Paolo Maldini (captain),26 June 1968 (aged 29),88,Milan,Italy
4,DF,Fabio Cannavaro,13 September 1973 (aged 24),14,Parma,Italy
5,DF,Alessandro Costacurta,24 April 1966 (aged 32),54,Milan,Italy
6,DF,Alessandro Nesta,19 March 1976 (aged 22),12,Lazio,Italy
7,DF,Gianluca Pessotto,11 August 1970 (aged 27),4,Juventus,Italy
8,DF,Moreno Torricelli,23 January 1970 (aged 28),6,Juventus,Italy
9,MF,Demetrio Albertini,23 August 1971 (aged 26),57,Milan,Italy
10,FW,Alessandro Del Piero,9 November 1974 (aged 23),19,Juventus,Italy
11,MF,Dino Baggio,24 July 1971 (aged 26),46,Parma,Italy
12,GK,Gianluca Pagliuca,18 December 1966 (aged 31),34,Inter Milan,Italy
13,MF,Sandro Cois,9 June 1972 (aged 26),1,Fiorentina,Italy
14,MF,Luigi Di Biagio,3 June 1971 (aged 27),13,Roma,Italy
15,MF,Angelo Di Livio,26 July 1966 (aged 31),21,Juventus,Italy
16,MF,Roberto Di Matteo,29 May 1970 (aged 28),32,Chelsea,Italy
17,MF,Francesco Moriero,31 March 1969 (aged 29),3,Inter Milan,Italy
18,FW,Roberto Baggio,18 February 1967 (aged 31),48,Bologna,Italy
19,FW,Filippo Inzaghi,9 August 1973 (aged 24),4,Juventus,Italy
20,FW,Enrico Chiesa,29 December 1970 (aged 27),6,Parma,Italy
21,FW,Christian Vieri,12 July 1973 (aged 24),8,Atlético Madrid,Italy
22,GK,Gianluigi Buffon,28 January 1978 (aged 20),2,Parma,Italy
1,GK,Peter Schmeichel,18 November 1963 (aged 34),100,Manchester United,Denmark
2,DF,Michael Schjønberg,19 January 1967 (aged 31),28,1. FC Kaiserslautern,Denmark
3,DF,Marc Rieper,5 June 1968 (aged 30),53,Celtic,Denmark
4,DF,Jes Høgh,7 May 1966 (aged 32),37,Fenerbahçe,Denmark
5,DF,Jan Heintze,17 August 1963 (aged 34),39,Bayer Leverkusen,Denmark
6,DF,Thomas Helveg,24 June 1971 (aged 26),30,Udinese,Denmark
7,MF,Allan Nielsen,13 March 1971 (aged 27),18,Tottenham Hotspur,Denmark
8,MF,Per Frandsen,6 February 1970 (aged 28),12,Bolton Wanderers,Denmark
9,FW,Miklos Molnar,10 April 1970 (aged 28),9,Sevilla,Denmark
10,MF,Michael Laudrup (captain),15 June 1964 (aged 33),99,Ajax,Denmark
11,FW,Brian Laudrup,22 February 1969 (aged 29),77,Rangers,Denmark
12,DF,Søren Colding,2 September 1972 (aged 25),4,Brøndby,Denmark
13,DF,Jacob Laursen,6 October 1971 (aged 26),22,Derby County,Denmark
14,MF,Morten Wieghorst,25 February 1971 (aged 27),11,Celtic,Denmark
15,MF,Stig Tøfting,14 August 1969 (aged 28),4,MSV Duisburg,Denmark
16,GK,Mogens Krogh,31 October 1963 (aged 34),8,Brøndby,Denmark
17,MF,Bjarne Goldbæk,6 October 1968 (aged 29),11,Copenhagen,Denmark
18,FW,Peter Møller,23 March 1972 (aged 26),11,PSV Eindhoven,Denmark
19,FW,Ebbe Sand,19 July 1972 (aged 25),2,Brøndby,Denmark
20,DF,René Henriksen,27 August 1969 (aged 28),2,Akademisk,Denmark
21,MF,Martin Jørgensen,6 October 1975 (aged 22),4,Udinese,Denmark
22,GK,Peter Kjær,5 November 1965 (aged 32),0,Silkeborg,Denmark
1,GK,Bernard Lama,7 April 1963 (aged 35),37,Paris Saint-Germain,France
2,DF,Vincent Candela,24 October 1973 (aged 24),10,Roma,France
3,DF,Bixente Lizarazu,9 December 1969 (aged 28),32,Bayern Munich,France
4,MF,Patrick Vieira,23 June 1976 (aged 21),7,Arsenal,France
5,DF,Laurent Blanc,19 November 1965 (aged 32),68,Marseille,France
6,MF,Youri Djorkaeff,9 March 1968 (aged 30),37,Inter Milan,France
7,MF,Didier Deschamps (captain),15 October 1968 (aged 29),69,Juventus,France
8,DF,Marcel Desailly,7 September 1968 (aged 29),41,Milan,France
9,FW,Stéphane Guivarc'h,6 September 1970 (aged 27),6,Auxerre,France
10,MF,Zinedine Zidane,23 June 1972 (aged 25),33,Juventus,France
11,MF,Robert Pires,29 October 1973 (aged 24),14,Metz,France
12,FW,Thierry Henry,17 August 1977 (aged 20),3,Monaco,France
13,MF,Bernard Diomède,23 January 1974 (aged 24),6,Auxerre,France
14,MF,Alain Boghossian,27 October 1970 (aged 27),6,Sampdoria,France
15,DF,Lilian Thuram,1 January 1972 (aged 26),32,Parma,France
16,GK,Fabien Barthez,28 June 1971 (aged 26),12,Monaco,France
17,MF,Emmanuel Petit,22 September 1970 (aged 27),17,Arsenal,France
18,DF,Frank Leboeuf,22 January 1968 (aged 30),14,Chelsea,France
19,MF,Christian Karembeu,3 December 1970 (aged 27),31,Real Madrid,France
20,FW,David Trezeguet,15 October 1977 (aged 20),4,Monaco,France
21,FW,Christophe Dugarry,24 March 1972 (aged 26),23,Marseille,France
22,GK,Lionel Charbonnier,25 October 1966 (aged 31),1,Auxerre,France
1,GK,Mohamed Al-Deayea,2 August 1972 (aged 25),94,Al-Ta'ee,Saudi Arabia
2,DF,Mohammed Sheliah,28 September 1974 (aged 23),64,Al Ahli,Saudi Arabia
3,DF,Mohammed Al-Khilaiwi,1 September 1971 (aged 26),86,Al-Ittihad,Saudi Arabia
4,MF,Abdullah Sulaiman Zubromawi,15 November 1973 (aged 24),83,Al Ahli,Saudi Arabia
5,DF,Ahmed Jamil,6 January 1970 (aged 28),94,Al-Ittihad,Saudi Arabia
6,MF,Fuad Anwar,13 October 1972 (aged 25),95,Al Shabab,Saudi Arabia
7,FW,Ibrahim Suwayed,21 July 1974 (aged 23),19,Al Ahli,Saudi Arabia
8,FW,Obeid Al-Dosari,2 October 1975 (aged 22),61,Al Wehda,Saudi Arabia
9,FW,Sami Al-Jaber,11 December 1972 (aged 25),85,Al Hilal,Saudi Arabia
10,FW,Saeed Al-Owairan,19 August 1967 (aged 30),55,Al Shabab,Saudi Arabia
11,FW,Fahad Al-Mehallel,11 November 1970 (aged 27),85,Al Shabab,Saudi Arabia
12,MF,Ibrahim Mater,10 July 1975 (aged 22),47,Al Nassr,Saudi Arabia
13,DF,Hussein Abdulghani,23 January 1977 (aged 21),40,Al Ahli,Saudi Arabia
14,MF,Khaled Massad,23 November 1971 (aged 26),91,Al Ahli,Saudi Arabia
15,MF,Yousuf Al-Thunayan (captain),18 November 1963 (aged 34),86,Al Hilal,Saudi Arabia
16,MF,Khamis Al-Owairan,8 September 1973 (aged 24),48,Al Hilal,Saudi Arabia
17,DF,Ahmed Al-Dokhi,25 October 1976 (aged 21),12,Al Hilal,Saudi Arabia
18,MF,Nawaf Al-Temyat,26 June 1976 (aged 21),0,Al Hilal,Saudi Arabia
19,DF,Abdulaziz Al-Janoubi,21 July 1974 (aged 23),3,Al Nassr,Saudi Arabia
20,MF,Hamzah Saleh,19 April 1967 (aged 31),38,Al Ahli,Saudi Arabia
21,GK,Hussein Al-Sadiq,15 October 1973 (aged 24),64,Al Qadsiah,Saudi Arabia
22,GK,Tisir Al-Antaif,16 February 1974 (aged 24),0,Al Ettifaq,Saudi Arabia
1,GK,Hans Vonk,30 January 1970 (aged 28),0,Heerenveen,South Africa
2,DF,Themba Mnguni,16 December 1973 (aged 24),3,Mamelodi Sundowns,South Africa
3,DF,David Nyathi,22 March 1969 (aged 29),35,St. Gallen,South Africa
4,DF,Willem Jackson,26 March 1972 (aged 26),12,Orlando Pirates,South Africa
5,DF,Mark Fish,14 March 1974 (aged 24),37,Bolton Wanderers,South Africa
6,FW,Phil Masinga,28 June 1969 (aged 28),41,Bari,South Africa
7,MF,Quinton Fortune,21 May 1977 (aged 21),6,Atlético Madrid,South Africa
8,MF,Alfred Phiri,22 June 1974 (aged 23),2,Vanspor,South Africa
9,FW,Shaun Bartlett,31 October 1972 (aged 25),29,Cape Town Spurs,South Africa
10,MF,John Moshoeu,18 December 1965 (aged 32),44,Fenerbahçe,South Africa
11,MF,Helman Mkhalele,20 October 1969 (aged 28),35,Kayserispor,South Africa
12,FW,Brendan Augustine,26 October 1971 (aged 26),26,LASK,South Africa
13,FW,Delron Buckley,7 December 1977 (aged 20),0,VfL Bochum,South Africa
14,FW,Jerry Sikhosana,8 June 1969 (aged 29),9,Orlando Pirates,South Africa
15,MF,Doctor Khumalo,26 June 1967 (aged 30),43,Kaizer Chiefs,South Africa
16,GK,Brian Baloyi,16 March 1974 (aged 24),8,Kaizer Chiefs,South Africa
17,FW,Benni McCarthy,12 November 1977 (aged 20),10,Ajax,South Africa
18,MF,Lebogang Morula,22 December 1968 (aged 29),0,Vanspor,South Africa
19,DF,Lucas Radebe (captain),12 April 1969 (aged 29),41,Leeds United,South Africa
20,MF,William Mokoena,31 March 1975 (aged 23),0,Manning Rangers,South Africa
21,DF,Pierre Issa,12 September 1975 (aged 22),1,Marseille,South Africa
22,GK,Paul Evans*,28 December 1973 (aged 24),0,Supersport United,South Africa
23,GK,Simon Gopane*,26 December 1970 (aged 27),1,Bloemfontein Celtic,South Africa
1,GK,Zdravko Zdravkov,4 October 1970 (aged 27),16,Istanbulspor,Bulgaria
2,DF,Radostin Kishishev,30 July 1974 (aged 23),22,Litex Lovech,Bulgaria
3,DF,Trifon Ivanov (captain),27 July 1965 (aged 32),72,CSKA Sofia,Bulgaria
4,DF,Ivaylo Petkov,24 March 1976 (aged 22),10,Litex Lovech,Bulgaria
5,MF,Ivaylo Yordanov,22 April 1968 (aged 30),38,Sporting CP,Bulgaria
6,MF,Zlatko Yankov,7 June 1966 (aged 32),67,Beşiktaş,Bulgaria
7,FW,Emil Kostadinov,12 August 1967 (aged 30),67,CSKA Sofia,Bulgaria
8,FW,Hristo Stoichkov,8 February 1966 (aged 32),70,Barcelona,Bulgaria
9,FW,Lyuboslav Penev,31 August 1966 (aged 31),58,Compostela,Bulgaria
10,MF,Krasimir Balakov,29 March 1966 (aged 32),66,VfB Stuttgart,Bulgaria
11,MF,Ilian Iliev,2 July 1968 (aged 29),15,Bursaspor,Bulgaria
12,GK,Borislav Mihaylov,12 February 1963 (aged 35),96,Slavia Sofia,Bulgaria
13,DF,Gosho Ginchev,2 February 1969 (aged 29),15,Antalyaspor,Bulgaria
14,MF,Marian Hristov,29 July 1973 (aged 24),9,1. FC Kaiserslautern,Bulgaria
15,DF,Adalbert Zafirov,29 September 1969 (aged 28),6,Arminia Bielefeld,Bulgaria
16,MF,Anatoli Nankov,15 July 1969 (aged 28),15,Lokomotiv Sofia,Bulgaria
17,MF,Stoycho Stoilov,15 October 1971 (aged 26),1,Litex Lovech,Bulgaria
18,MF,Daniel Borimirov,15 January 1970 (aged 28),36,1860 Munich,Bulgaria
19,FW,Georgi Bachev,18 April 1977 (aged 21),4,Slavia Sofia,Bulgaria
20,FW,Georgi Ivanov,2 July 1976 (aged 21),4,Levski Sofia,Bulgaria
21,DF,Rosen Kirilov,4 January 1973 (aged 25),3,Litex Lovech,Bulgaria
22,MF,Milen Petkov,12 January 1974 (aged 24),5,CSKA Sofia,Bulgaria
1,GK,Peter Rufai,24 August 1963 (aged 34),62,Deportivo La Coruña,Nigeria
2,DF,Mobi Oparaku,1 December 1976 (aged 21),3,Kapellen,Nigeria
3,DF,Celestine Babayaro,29 August 1978 (aged 19),6,Chelsea,Nigeria
4,FW,Nwankwo Kanu,1 August 1976 (aged 21),7,Inter Milan,Nigeria
5,DF,Uche Okechukwu (captain),27 September 1967 (aged 30),41,Fenerbahçe,Nigeria
6,DF,Taribo West,26 March 1974 (aged 24),8,Inter Milan,Nigeria
7,MF,Finidi George,15 April 1971 (aged 27),36,Real Betis,Nigeria
8,MF,Mutiu Adepoju,22 December 1970 (aged 27),35,Real Sociedad,Nigeria
9,FW,Rashidi Yekini,23 October 1963 (aged 34),58,Zürich,Nigeria
10,MF,Jay-Jay Okocha,14 August 1973 (aged 24),26,Fenerbahçe,Nigeria
11,MF,Garba Lawal,22 May 1974 (aged 24),3,Roda JC,Nigeria
12,GK,Willy Okpara,7 May 1968 (aged 30),5,Orlando Pirates,Nigeria
13,MF,Tijani Babangida,25 September 1973 (aged 24),4,Ajax,Nigeria
14,FW,Daniel Amokachi,30 December 1972 (aged 25),43,Beşiktaş,Nigeria
15,MF,Sunday Oliseh,14 September 1974 (aged 23),22,Ajax,Nigeria
16,DF,Uche Okafor,8 August 1967 (aged 30),33,Kansas City Wizards,Nigeria
17,DF,Augustine Eguavoen,19 August 1965 (aged 32),52,Torpedo Moscow,Nigeria
18,MF,Wilson Oruma,30 December 1976 (aged 21),4,Lens,Nigeria
19,DF,Benedict Iroha,29 November 1969 (aged 28),33,Elche,Nigeria
20,FW,Victor Ikpeba,12 June 1973 (aged 24),15,Monaco,Nigeria
21,DF,Godwin Okpara,20 September 1972 (aged 25),6,Strasbourg,Nigeria
22,GK,Abiodun Baruwa,16 November 1974 (aged 23),3,Sion,Nigeria
1,GK,José Luis Chilavert (captain),27 July 1965 (aged 32),40,Vélez Sársfield,Paraguay
2,DF,Francisco Arce,2 April 1971 (aged 27),28,Palmeiras,Paraguay
3,DF,Catalino Rivarola,30 April 1965 (aged 33),49,Grêmio,Paraguay
4,DF,Carlos Gamarra,17 February 1971 (aged 27),48,Corinthians,Paraguay
5,DF,Celso Ayala,20 August 1970 (aged 27),42,River Plate,Paraguay
6,DF,Edgar Aguilera,28 July 1975 (aged 22),1,Cerro Corá,Paraguay
7,MF,Julio César Yegros,31 January 1971 (aged 27),6,Cruz Azul,Paraguay
8,FW,Arístides Rojas,12 August 1968 (aged 29),5,Unión de Santa Fe,Paraguay
9,FW,José Cardozo,19 March 1971 (aged 27),12,Toluca,Paraguay
10,MF,Roberto Acuña,25 March 1972 (aged 26),40,Zaragoza,Paraguay
11,DF,Pedro Sarabia,5 July 1975 (aged 22),20,River Plate,Paraguay
12,GK,Danilo Aceval,15 September 1975 (aged 22),3,Unión de Santa Fe,Paraguay
13,MF,Carlos Paredes,16 July 1976 (aged 21),3,Olimpia,Paraguay
14,DF,Ricardo Rojas,26 January 1971 (aged 27),6,Estudiantes,Paraguay
15,FW,Miguel Ángel Benítez,19 May 1970 (aged 28),32,Espanyol,Paraguay
16,MF,Julio César Enciso,5 August 1974 (aged 23),4,Internacional,Paraguay
17,FW,Hugo Brizuela,8 February 1969 (aged 29),11,Argentinos Juniors,Paraguay
18,FW,César Ramírez,21 March 1977 (aged 21),3,Sporting CP,Paraguay
19,MF,Carlos Morales,4 November 1968 (aged 29),0,Gimnasia de Jujuy,Paraguay
20,DF,Denis Caniza,29 August 1974 (aged 23),8,Olimpia,Paraguay
21,MF,Jorge Luis Campos,11 August 1970 (aged 27),10,Beijing Guo'an,Paraguay
22,GK,Rubén Ruiz Díaz,11 November 1969 (aged 28),12,Monterrey,Paraguay
1,GK,Andoni Zubizarreta (captain),23 October 1961 (aged 36),123,Valencia,Spain
2,DF,Albert Ferrer,6 June 1970 (aged 28),34,Barcelona,Spain
